InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
lambdalabs_H100-sxm5,H100,1.0,26.0,225,4.36,us-southeast-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 80}]}",
lambdalabs_H100-sxm5,H100,1.0,26.0,225,4.36,austin-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 80}]}",
lambdalabs_H100-sxm5x2,H100,2.0,52.0,450,8.38,us-southeast-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 160}]}",
lambdalabs_H100-sxm5x2,H100,2.0,52.0,450,8.38,austin-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 160}]}",
lambdalabs_H100-sxm5x2,H100,2.0,52.0,450,8.38,dallas-usa-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 160}]}",
scaleway_H100x2,H100,2.0,48.0,480,6.6,paris-france-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 160}]}",
scaleway_L40S,L40S,1.0,8.0,96,1.7,paris-france-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
scaleway_L40S,L40S,1.0,8.0,96,1.7,warsaw-poland-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
paperspace_A4000x2,A4000,2.0,16.0,90,1.6,newyork-usa-1,"{'Gpus': [{'Name': 'A4000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 16}, 'TotalGpuMemoryInMiB': 32}]}",
paperspace_A6000,A6000,1.0,8.0,45,1.93,newyork-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
paperspace_V100-32GB,V100-32GB,1.0,8.0,30,2.34,newyork-usa-1,"{'Gpus': [{'Name': 'V100-32GB', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 32}, 'TotalGpuMemoryInMiB': 32}]}",
crusoe_L40Sx10,L40S,10.0,80.0,1470,14.5,houston-usa-2,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 10.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 480}]}",
vultr_A16x4,A16,4.0,24.0,256,2.05,singapore-singapore-1,"{'Gpus': [{'Name': 'A16', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 16}, 'TotalGpuMemoryInMiB': 64}]}",
vultr_A16x4,A16,4.0,24.0,256,2.05,bangalore-india-1,"{'Gpus': [{'Name': 'A16', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 16}, 'TotalGpuMemoryInMiB': 64}]}",
vultr_A16x4,A16,4.0,24.0,256,2.05,frankfurt-germany-6,"{'Gpus': [{'Name': 'A16', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 16}, 'TotalGpuMemoryInMiB': 64}]}",
vultr_A16x4,A16,4.0,24.0,256,2.05,newark-usa-1,"{'Gpus': [{'Name': 'A16', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 16}, 'TotalGpuMemoryInMiB': 64}]}",
crusoe_L40Sx2,L40S,2.0,16.0,294,2.9,houston-usa-2,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
crusoe_L40Sx2,L40S,2.0,16.0,294,2.9,culpeper-usa-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_A6000-plus,A6000,1.0,12.0,64,0.57,desmoines-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
massedcompute_A6000-plus,A6000,1.0,12.0,64,0.57,kansascity-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
massedcompute_A6000-plusx2,A6000,2.0,30.0,128,1.14,desmoines-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_A6000-plusx2,A6000,2.0,30.0,128,1.14,kansascity-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
paperspace_A100,A100,1.0,8.0,90,3.19,newyork-usa-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 40}, 'TotalGpuMemoryInMiB': 40}]}",
paperspace_V100-32GBx4,V100-32GB,4.0,32.0,120,9.36,newyork-usa-1,"{'Gpus': [{'Name': 'V100-32GB', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 32}, 'TotalGpuMemoryInMiB': 128}]}",
paperspace_V100-32GBx2,V100-32GB,2.0,16.0,60,4.68,newyork-usa-1,"{'Gpus': [{'Name': 'V100-32GB', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 32}, 'TotalGpuMemoryInMiB': 64}]}",
