InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Arch,LocalDiskType,NVMeSupported,LocalDiskSize,LocalDiskCount
c3.large,,,2.0,3.75,,0.132,0.035700,ap-southeast-2,apse2-az3,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.129,0.042600,eu-central-1,euc1-az2,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.129,0.042700,eu-central-1,euc1-az3,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.12,0.053700,eu-west-1,euw1-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.12,0.056900,eu-west-1,euw1-az2,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.12,0.055700,eu-west-1,euw1-az3,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.043600,us-east-1,use1-az2,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.030300,us-east-1,use1-az3,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.035100,us-east-1,use1-az4,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.039800,us-east-1,use1-az6,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.12,0.019500,us-west-1,usw1-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.12,0.020300,us-west-1,usw1-az3,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.035400,us-west-2,usw2-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.037400,us-west-2,usw2-az2,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.105,0.036300,us-west-2,usw2-az3,i386,ssd,False,16.0,2.0
c3.xlarge,,,4.0,7.5,,0.255,0.106900,ap-northeast-1,apne1-az1,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.255,0.099900,ap-northeast-1,apne1-az4,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.265,0.132200,ap-southeast-1,apse1-az1,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.265,0.130000,ap-southeast-1,apse1-az2,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.265,0.140800,ap-southeast-2,apse2-az1,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.265,0.130300,ap-southeast-2,apse2-az2,x86_64,ssd,False,40.0,2.0
c3.xlarge,,,4.0,7.5,,0.265,0.119300,ap-southeast-2,apse2-az3,x86_64,ssd,False,40.0,2.0
