InstanceType,UpstreamCloudId,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
massedcompute__1xL40S_48GB__12__128,gpu_1x_l40s,12.0,128,L40S,1.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",US,us-central-3,0.65,
massedcompute__2xL40S_48GB__24__256,gpu_2x_l40s,24.0,256,L40S,2.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",US,us-central-3,1.3,
crusoecloud__1xL40S_48GB__8__147,l40s-48gb.1x,8.0,147,L40S,1.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",US,us-east1-a,1.0,
crusoecloud__1xL40S_48GB__8__147,l40s-48gb.1x,8.0,147,L40S,1.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",US,us-southcentral1-a,1.0,
crusoecloud__2xL40S_48GB__16__294,l40s-48gb.2x,16.0,294,L40S,2.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",US,us-east1-a,2.0,
crusoecloud__2xL40S_48GB__16__294,l40s-48gb.2x,16.0,294,L40S,2.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",US,us-southcentral1-a,2.0,
crusoecloud__4xL40S_48GB__32__588,l40s-48gb.4x,32.0,588,L40S,4.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",US,us-east1-a,4.0,
crusoecloud__4xL40S_48GB__32__588,l40s-48gb.4x,32.0,588,L40S,4.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",US,us-southcentral1-a,4.0,
crusoecloud__8xL40S_48GB__64__1176,l40s-48gb.8x,64.0,1176,L40S,8.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",US,us-east1-a,8.0,
crusoecloud__8xL40S_48GB__64__1176,l40s-48gb.8x,64.0,1176,L40S,8.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",US,us-southcentral1-a,8.0,
crusoecloud__10xL40S_48GB__80__1470,l40s-48gb.10x,80.0,1470,L40S,10.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":10,""MemoryInfo"":{""SizeInMiB"":491520}}],""TotalGpuMemoryInMiB"":4915200}",US,us-southcentral1-a,10.0,
crusoecloud__10xL40S_48GB__80__1470,l40s-48gb.10x,80.0,1470,L40S,10.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":10,""MemoryInfo"":{""SizeInMiB"":491520}}],""TotalGpuMemoryInMiB"":4915200}",US,us-east1-a,10.0,
datacrunch__1xRTX6000Ada_48GB__10__60,1RTX6000ADA.10V,10.0,60,RTX6000Ada,1.0,"{""Gpus"":[{""Name"":""RTX6000Ada"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",FI,FIN-01,0.83,
datacrunch__1xRTX6000Ada_48GB__10__60__SPOT,1RTX6000ADA.10V_SPOT,10.0,60,RTX6000Ada,1.0,"{""Gpus"":[{""Name"":""RTX6000Ada"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",FI,FIN-01,,0.23
datacrunch__8xRTX6000Ada_48GB__80__480,8RTX6000ADA.80V,80.0,480,RTX6000Ada,8.0,"{""Gpus"":[{""Name"":""RTX6000Ada"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",FI,FIN-01,6.61,
datacrunch__8xRTX6000Ada_48GB__80__480__SPOT,8RTX6000ADA.80V_SPOT,80.0,480,RTX6000Ada,8.0,"{""Gpus"":[{""Name"":""RTX6000Ada"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",FI,FIN-01,,1.86
hyperstack__1xA4000_16GB__4__21,n3-RTX-A4000x1,4.0,21,A4000,1.0,"{""Gpus"":[{""Name"":""A4000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":16384}}],""TotalGpuMemoryInMiB"":16384}",NO,NORWAY-1,0.15,
hyperstack__2xA4000_16GB__8__43,n3-RTX-A4000x2,8.0,43,A4000,2.0,"{""Gpus"":[{""Name"":""A4000"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":32768}}],""TotalGpuMemoryInMiB"":65536}",NO,NORWAY-1,0.3,
hyperstack__4xA4000_16GB__16__86,n3-RTX-A4000x4,16.0,86,A4000,4.0,"{""Gpus"":[{""Name"":""A4000"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":65536}}],""TotalGpuMemoryInMiB"":262144}",NO,NORWAY-1,0.6,
lambdalabs__2xA6000_48GB__28__200,gpu_2x_a6000,28.0,200,A6000,2.0,"{""Gpus"":[{""Name"":""A6000"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",US,us-south-1,1.6,
hyperstack__1xA6000_48GB__28__58,n3-RTX-A6000x1,28.0,58,A6000,1.0,"{""Gpus"":[{""Name"":""A6000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",CA,CANADA-1,0.5,
hyperstack__2xA6000_48GB__60__116,n3-RTX-A6000x2,60.0,116,A6000,2.0,"{""Gpus"":[{""Name"":""A6000"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",CA,CANADA-1,1.0,
hyperstack__4xA6000_48GB__124__232,n3-RTX-A6000x4,124.0,232,A6000,4.0,"{""Gpus"":[{""Name"":""A6000"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",CA,CANADA-1,2.0,
hyperstack__8xA6000_48GB__252__464,n3-RTX-A6000x8,252.0,464,A6000,8.0,"{""Gpus"":[{""Name"":""A6000"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",CA,CANADA-1,4.0,
