Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
skypilot:k80-ubuntu-1804,eu-north-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,eu-south-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,eu-west-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,eu-west-2,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,eu-west-3,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,me-central-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,me-south-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,us-east-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,us-east-2,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,us-west-1,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-1804,us-west-2,ubuntu,18.04,,20211208,
skypilot:k80-ubuntu-2004,af-south-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-east-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-northeast-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-northeast-2,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-northeast-3,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-south-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-southeast-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-southeast-2,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ap-southeast-3,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,ca-central-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-central-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-north-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-south-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-west-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-west-2,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,eu-west-3,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,me-central-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,me-south-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,us-east-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,us-east-2,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,us-west-1,ubuntu,20.04,,20211208,
skypilot:k80-ubuntu-2004,us-west-2,ubuntu,20.04,,20211208,
